fecha	minsplit	minbucket	maxdepth	corte	cp	ganancia	iteracion
20230907 213050	1117	428	10	8500	-1	55416220	1
20230907 213250	1240	600	7	9518	-1	47039620	2
20230907 213341	1418	248	11	8428	-1	56209550	3
20230907 213439	970	320	6	9922	-1	49442940	4
20230907 213541	1170	201	8	8315	-1	54692890	5
20230907 213638	1340	513	9	9240	-1	45429640	6
20230907 213744	663	283	9	9048	-1	45569630	7
20230907 213835	1253	478	12	9410	-1	53152910	8
20230907 213952	1426	264	9	8417	-1	56699540	9
20230907 214042	773	313	10	9636	-1	51706250	10
20230907 214219	1311	423	9	9261	-1	51122920	11
20230907 214259	1369	500	6	9087	-1	44542980	12
20230907 214400	540	252	8	9607	-1	45032970	13
20230907 214459	1203	366	12	8605	-1	51869580	14
20230907 214542	1130	520	7	8319	-1	43586320	15
20230907 214651	1364	481	6	9438	-1	46106300	16
20230907 214804	1440	226	9	8278	-1	55369560	17
20230907 214913	975	433	12	9288	-1	51706250	18
20230907 214958	1309	270	10	8419	-1	56652880	19
20230907 215044	1464	279	10	8449	-1	56419550	20
20230910 183810	1393	260	10	9559	-1	56699540	21
20230910 184003	1392	259	10	8687	-1	54599560	22
20230910 184059	1440	289	11	9762	-1	56629550	23
20230910 184230	1329	307	9	8139	-1	57352870	24
20230910 184330	1310	382	10	8001	-1	53176240	25
20230910 184431	1334	275	9	8010	-1	56466210	26
20230910 184657	1298	299	9	8311	-1	56256210	27
20230910 184815	1454	311	10	8111	-1	57492870	28
20230910 184904	1500	253	12	9775	-1	55649550	29
20230910 184942	1500	316	8	8107	-1	56862880	30
20230910 185034	1499	314	11	9535	-1	56419550	31
20230910 185131	1419	267	10	8187	-1	57049540	32
20230910 185354	1340	308	12	8098	-1	55789550	33
20230910 185440	1365	276	12	9539	-1	57516210	34
20230910 185545	1499	275	11	9517	-1	57632870	35
20230910 185651	1473	438	12	8468	-1	48206280	36
20230910 185805	1426	280	11	9481	-1	56839540	37
20230910 185953	1100	320	10	8078	-1	55999550	38
20230910 190045	1500	275	12	9602	-1	57772870	39
20230910 214128	1230	273	12	9627	-1	53666240	40
