fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20231007 034258	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	800	TRUE	880007	0.183616565879667	0.574997108681127	1744	608	8664	514388000	1
20231007 041218	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1436	TRUE	880007	0.122115057908231	0.640203073099256	5222	537	7253	424004000	2
20231007 045801	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1286	TRUE	880007	0.135305113457143	0.550364932846278	4670	497	9154	512414000	3
20231007 054026	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1536	TRUE	880007	0.213452292649774	0.813943663192913	4219	691	11479	606312000	4
20231007 055653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	479	TRUE	880007	0.161585748844896	0.361263265563175	2524	274	6072	360794000	5
20231007 061943	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	846	TRUE	880007	0.280027103312896	0.282927633207291	3632	817	11568	595084000	6
20231007 063627	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	828	TRUE	880007	0.252031857444672	0.637253838982433	6151	865	13269	604366000	7
20231007 070047	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1177	TRUE	880007	0.153009401987074	0.782760135484859	5095	411	12421	605647000	8
20231007 075330	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1740	TRUE	880007	0.100315974335652	0.233681814167649	3320	969	14883	681058000	9
20231007 084753	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2329	TRUE	880007	0.0408867920904886	0.869450423372909	2893	903	7792	463456000	10
20231007 115048	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	800	TRUE	880007	0.183616565879667	0.574997108681127	1744	608	8664	514388000	11
20231007 121921	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1436	TRUE	880007	0.122115057908231	0.640203073099256	5222	537	7253	424004000	12
20231007 130445	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1286	TRUE	880007	0.135305113457143	0.550364932846278	4670	497	9154	512414000	13
20231007 133732	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1536	TRUE	880007	0.213452292649774	0.813943663192913	4219	691	11479	606312000	14
20231007 135355	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	479	TRUE	880007	0.161585748844896	0.361263265563175	2524	274	6072	360794000	15
20231007 141641	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	846	TRUE	880007	0.280027103312896	0.282927633207291	3632	817	11568	594797000	16
20231007 143320	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	828	TRUE	880007	0.252031857444672	0.637253838982433	6151	865	13269	604366000	17
20231007 145806	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1177	TRUE	880007	0.153009401987074	0.782760135484859	5095	411	12421	605647000	18
20231007 154023	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1740	TRUE	880007	0.100315974335652	0.233681814167649	3320	969	14883	681058000	19
20231007 163551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2329	TRUE	880007	0.0408867920904886	0.869450423372909	2893	903	7792	463456000	20
20231007 180224	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2024	TRUE	880007	0.0568275486445054	0.918895128807053	616	459	13974	713587000	21
20231007 180620	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	880007	0.186674373747315	0.937214871561155	6860	227	6941	349986000	22
20231007 181454	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	190	TRUE	880007	0.210637631701538	0.511295843087137	6472	997	5533	295001000	23
20231007 185427	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1195	TRUE	880007	0.0734630876206793	0.327403788119555	160	318	10701	608335000	24
20231007 234153	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9540	TRUE	880007	0.0205745441642357	0.418525140313432	5790	647	10210	551327000	25
20231007 235144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	507	TRUE	880007	0.083500329754781	0.690013111596927	2366	47	5218	289464000	26
20231008 002412	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	983	TRUE	880007	0.286469361701864	0.47413924889639	1015	100	14209	676921000	27
20231008 005319	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1477	TRUE	880007	0.0330472656186903	0.994576695617288	7789	138	12874	542486000	28
20231008 010725	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	557	TRUE	880007	0.265684582962189	0.2519327390939	7553	204	8120	415394000	29
20231008 012403	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	513	TRUE	880007	0.228189724945696	0.742200227910653	1389	753	9881	554561000	30
20231008 015531	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	923	TRUE	880007	0.0947398513116693	0.616826956042822	3	626	14987	701757000	31
20231008 020417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	880007	0.172720082763117	0.999476175441879	11	678	14250	570787000	32
20231008 102854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9981	TRUE	880007	0.0100877833594076	0.522281515329973	1302	449	14901	715603000	33
20231008 115524	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2531	TRUE	880007	0.0530846044030521	0.606196599602904	1327	562	14187	712103000	34
