fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231124 013703	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	104	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.167544097158825	0.632010675640777	321	9293	12629	157858609.195402	1
20231124 015630	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	231	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.13671223712503	0.31143829615321	546	12198	12135	157968503.248376	2
20231124 022335	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	474	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.156674295554403	0.697623498737812	493	3544	11721	151754539.230385	3
20231124 024142	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	147	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.204722960926592	0.377036737184972	400	13217	11350	157432658.670665	4
20231124 030405	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	160	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.123470577765256	0.491492674697656	708	7647	10454	154819801.09945	5
20231124 032151	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	241	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.292040790565661	0.890821067453362	593	7129	12697	142714863.068466	6
20231124 033616	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	225	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.259083137953421	0.704101272078697	333	18465	9652	145270282.858571	7
20231124 035836	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	163	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0978088115248829	0.500646444770973	194	10635	10837	154722329.335332	8
20231124 042114	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	366	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.215238815706689	0.297560879180674	240	5886	11371	143868747.126437	9
20231124 043803	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	201	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0772105449880473	0.927805350220297	982	14020	12067	157371379.810095	10
20231124 054747	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2225	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0202161488763522	0.245258736994583	749	18984	11701	156412460.269865	11
20231124 061653	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	993	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0493526539363666	0.826837917021476	77	16904	11823	155860709.145427	12
